epoch,train_loss,valid_loss,mIOU,time
0,3.858361005783081,3.30853271484375,0.2557811290193417,05:40
1,nan,nan,0.0,05:57
epoch,train_loss,valid_loss,mIOU,time
0,4.975317478179932,3.6516335010528564,0.2911693354852331,05:52
1,1.643542766571045,1.5149279832839966,0.3021272705931169,06:04
2,1.347808599472046,1.2804499864578247,0.3526305489512191,06:04
3,1.2472761869430542,1.3064162731170654,0.36564446764898084,06:03
4,1.2211248874664307,1.1526315212249756,0.3936225337041096,06:03
5,1.2084124088287354,1.2155401706695557,0.40080804194613784,06:04
6,1.168847918510437,1.0961191654205322,0.40827661733149634,06:02
7,1.1537829637527466,1.1360390186309814,0.4169677676339429,06:02
8,1.1419758796691895,1.091902732849121,0.4131553861519351,06:04
9,1.1218791007995605,1.1290907859802246,0.4238678248253085,06:03
10,1.1082466840744019,1.1512510776519775,0.43217682985031053,06:01
11,1.107511043548584,1.0810521841049194,0.44234593346385115,06:02
12,1.0865398645401,1.069357991218567,0.4433030295110976,06:03
13,1.0769152641296387,1.1059143543243408,0.45367360960468034,06:02
14,1.057620644569397,1.093833088874817,0.4406379289841568,06:00
15,1.0676189661026,1.1018223762512207,0.44920300070353697,06:00
16,1.0486319065093994,1.120592713356018,0.4519535197881213,05:58
17,1.0460072755813599,1.0597434043884277,0.45522375680156846,06:02
18,1.0425676107406616,1.064365029335022,0.4621665770878044,06:00
19,1.027659296989441,1.0055725574493408,0.4706596470882226,06:00
20,1.0214852094650269,1.0073127746582031,0.4596392461017105,06:00
21,1.0182061195373535,1.0263460874557495,0.4739284217135419,05:58
22,1.009663462638855,1.0084186792373657,0.46951411594366493,06:01
23,1.002035140991211,1.0350673198699951,0.47674938791557747,06:00
24,0.9897173643112183,0.9883366227149963,0.4778400835252754,05:58
25,0.9944553971290588,1.0511127710342407,0.48417631446326553,05:59
26,0.9869797825813293,0.9331210851669312,0.48064008454844914,05:56
27,1.0073072910308838,0.9604682326316833,0.4621389070551823,06:00
28,0.9782124161720276,0.9983745813369751,0.4833052066915155,06:01
29,0.989421546459198,0.9906414151191711,0.4763261646275497,06:02
30,0.9786743521690369,0.9780985713005066,0.491540437735796,06:03
31,0.9751936197280884,0.9780381321907043,0.4923216727608446,06:05
32,0.9670459628105164,0.9904513955116272,0.4774349305713217,06:07
33,0.9636569023132324,0.9900368452072144,0.4941104434202645,06:08
34,0.962422788143158,0.9844116568565369,0.4921681887228837,06:09
35,0.9631163477897644,0.9542715549468994,0.4967335635624504,06:08
36,0.9630805253982544,0.9553964734077454,0.5008776323733254,06:08
37,0.9592858552932739,1.0175694227218628,0.49386510709642994,06:09
38,0.9612638354301453,0.9083325266838074,0.5028872108699347,06:10
39,0.9557021856307983,0.9967672228813171,0.497111114487565,06:12
40,0.9494542479515076,0.9582265615463257,0.5021711967220812,06:13
41,0.9517596960067749,0.9502966403961182,0.49825642829745187,06:10
42,0.9539913535118103,0.9482537508010864,0.5055545240462946,06:10
43,0.9494405388832092,0.9883466958999634,0.5032445299092647,06:13
44,0.9492508769035339,0.9743999242782593,0.504770185043993,06:12
45,0.9426140189170837,0.8953627943992615,0.5008431892360605,06:10
46,0.945227324962616,0.9444969296455383,0.5046559691674374,06:13
47,0.9400614500045776,0.948112964630127,0.5042417765242989,06:12
48,0.9347821474075317,0.9566707611083984,0.5098517195812672,06:13
49,0.938522458076477,0.9154778122901917,0.5157110320405801,06:13
50,0.9424983263015747,0.9866268634796143,0.5146496178656781,06:12
51,0.9349530339241028,0.957416296005249,0.5160652431105042,06:12
52,0.9443484544754028,0.9766963124275208,0.5175430113784785,06:13
53,0.9391137361526489,0.9162790775299072,0.5192293090264702,06:13
54,0.9322584271430969,0.9846866726875305,0.5148952508842266,06:16
55,0.9311535954475403,0.95098477602005,0.5117886471972126,06:13
56,0.9329503774642944,0.943606972694397,0.5107699869283031,06:11
57,0.9322342276573181,0.9519281983375549,0.5152565099587211,06:14
58,0.9308294653892517,0.984791100025177,0.5186091443038698,06:15
59,0.9370917677879333,0.9638321399688721,0.5176534273883232,06:12
60,0.929019033908844,0.9775703549385071,0.5268626676912825,06:13
61,0.9297717809677124,0.9006478786468506,0.5199048576472914,06:13
62,0.9281908869743347,0.9524345993995667,0.5238459758935455,06:16
63,0.9233468174934387,0.9493920803070068,0.5238425368395556,06:15
64,0.9260320663452148,0.9596182107925415,0.5223133590832004,06:16
65,0.9220532178878784,0.9094568490982056,0.5265168817523549,06:15
66,0.9254065752029419,0.909372866153717,0.526675264875453,06:15
67,0.9277098178863525,0.9298601150512695,0.5284424336452554,06:14
68,0.9185395836830139,0.9859914779663086,0.5264024414745049,06:14
69,0.9239952564239502,0.9255959391593933,0.5300896875631881,06:14
70,0.9228579998016357,0.9663172960281372,0.5295112424178365,06:17
71,0.92442387342453,0.951261043548584,0.529110133274908,06:14
72,0.9216300249099731,0.9361223578453064,0.5288740429873333,06:15
73,0.9226391315460205,0.9328786134719849,0.5311570258095935,06:14
74,0.9209599494934082,0.9157893061637878,0.5385579286538541,06:16
75,0.9168441891670227,0.9403587579727173,0.5322705171787167,06:12
76,0.9152509570121765,0.9253614544868469,0.533243975023233,06:13
77,0.9226686954498291,0.9215760827064514,0.5359710440493638,06:14
78,0.9139289259910583,0.9340463280677795,0.5333524333770115,06:13
79,0.9191566705703735,0.942764401435852,0.5314490677494131,06:13
80,0.915836751461029,0.9083732962608337,0.5368828705850188,06:15
81,0.9181106090545654,0.9223657846450806,0.5368000911589703,06:12
82,0.9182126522064209,0.8951243162155151,0.5395396773316053,06:12
83,0.9145911931991577,0.9365639686584473,0.5366788376016505,06:14
84,0.9135518670082092,0.9655409455299377,0.5329260917194962,06:12
85,0.9126826524734497,0.8880361914634705,0.5411359809975952,06:16
86,0.9190720319747925,0.9413956999778748,0.5377679743113207,06:14
87,0.9197444319725037,0.9545370936393738,0.5341636831757557,06:16
88,0.9128082990646362,0.9274823665618896,0.5403539314854673,06:17
89,0.9079192876815796,0.9067642688751221,0.5414366028325908,06:15
90,0.9158485531806946,0.8988748788833618,0.5401582470006292,06:17
91,0.9098541736602783,0.9088471531867981,0.5400072170954091,06:17
92,0.9123634696006775,0.9174407124519348,0.538916514370687,06:14
93,0.902176022529602,0.9331867694854736,0.5351977615066988,06:16
94,0.9088402390480042,0.9364778399467468,0.5410950791917715,06:15
95,0.9084404110908508,0.9164730906486511,0.540678770318096,06:17
96,0.9085100293159485,0.9334137439727783,0.5461181441564992,06:13
97,0.9088808298110962,0.8991074562072754,0.5474413239274192,06:16
98,0.9139747023582458,0.9045426845550537,0.5469998505871624,06:17
99,0.9098942875862122,0.9068620204925537,0.5462964247116228,06:15
100,0.9088253974914551,0.8977206349372864,0.5462978372644486,06:17
101,0.9730673432350159,0.9152507185935974,0.5463084318082373,06:16
102,0.9039966464042664,0.9272109866142273,0.5433731125939889,06:16
103,0.9030801057815552,0.9041754007339478,0.5464263469237276,06:17
104,0.9065074324607849,0.9169589281082153,0.547344655331284,06:18
105,0.9076836705207825,0.9352141618728638,0.5426529786620296,06:16
106,0.9044462442398071,0.8946641087532043,0.5495532820850814,06:20
107,0.9032716155052185,0.9228313565254211,0.5482435711789388,06:13
108,0.9093402028083801,0.9328007102012634,0.5481107254497155,06:14
109,0.901386559009552,0.9123182892799377,0.5496885341393737,06:16
110,0.90712970495224,0.9066693782806396,0.5503987049356525,06:16
111,0.9017089605331421,0.9283511638641357,0.5466914620033484,06:15
112,0.9013071060180664,0.930456280708313,0.549048583937201,06:12
113,0.9047675728797913,0.9143048524856567,0.5502614113097565,06:16
114,0.894848644733429,0.9335251450538635,0.5437923304723851,06:18
115,0.9047807455062866,0.9165642857551575,0.5489767738320971,06:18
116,0.9015926122665405,0.9351723194122314,0.5513444334013474,06:19
117,0.9004179239273071,0.9079135060310364,0.5500908844300996,06:16
118,0.9025229811668396,0.9155813455581665,0.5505560018543573,06:18
119,0.9017724394798279,0.9201084971427917,0.5528907381654076,06:18
120,0.904289960861206,0.8759287595748901,0.5494206661491022,06:16
121,0.8981406688690186,0.9199223518371582,0.5502558446930397,06:19
122,0.8986663222312927,0.9088175892829895,0.5517994389448267,06:17
123,0.9025028347969055,0.8873550295829773,0.5528625649268742,06:16
124,0.9003188014030457,0.9086475372314453,0.5534156747719053,06:17
125,0.8963446021080017,0.9133554697036743,0.5535245529791439,06:19
126,0.8980924487113953,0.9140716791152954,0.5532662559650481,06:20
127,0.9011567831039429,0.8851143717765808,0.5526188156183914,06:17
128,0.8949059247970581,0.9129782915115356,0.553428525181425,06:18
129,0.8956786394119263,0.9050130844116211,0.552434763512937,06:20
130,0.8999320268630981,0.9186725616455078,0.5534059516568101,06:20
131,0.896178662776947,0.8887041211128235,0.5569357410098087,06:20
132,0.8973243832588196,0.9207231998443604,0.5528542103626487,06:20
133,0.8940855860710144,0.9093313813209534,0.5583114981760545,06:22
134,0.8935316205024719,0.908379077911377,0.5551662065127724,06:21
135,0.8935918211936951,0.9216882586479187,0.5527933745652163,06:20
136,0.8959155678749084,0.9084592461585999,0.5565218241663582,06:22
137,0.8922539949417114,0.8967171907424927,0.5566815616603004,06:22
138,0.8958218693733215,0.9069451689720154,0.555707341542882,06:21
139,0.8924660086631775,0.9010030031204224,0.5551774701731141,06:22
140,0.8944039344787598,0.9218142032623291,0.5573315446364012,06:21
141,0.8932999968528748,0.9190438985824585,0.5578304204394382,06:21
142,0.8936440944671631,0.9129320383071899,0.5567573726093225,06:24
143,0.8971197009086609,0.9229271411895752,0.555874843853714,06:22
144,0.892429530620575,0.9170949459075928,0.557712526192425,06:20
145,0.8890672922134399,0.9241933226585388,0.5571514477762114,06:23
146,0.8948885202407837,0.9133296608924866,0.5568462513772391,06:22
147,0.8937103748321533,0.8864370584487915,0.556607284542687,06:23
148,0.8922914862632751,0.9081368446350098,0.557360197741268,06:23
149,0.8934726119041443,0.910006582736969,0.5582742848466999,06:25
150,0.8896217346191406,0.904316782951355,0.5558697832116728,06:26
151,0.8926035165786743,0.9089495539665222,0.5570150450950537,06:26
152,0.8913654685020447,0.9167860150337219,0.5575788736577485,06:26
153,0.8995691537857056,0.8994218111038208,0.5573230415414603,06:24
154,0.899397611618042,0.8988178968429565,0.5583924240452065,06:26
155,0.8939101099967957,0.9092486500740051,0.5594520738152952,06:28
156,0.894648551940918,0.9086411595344543,0.5583070873564611,06:27
157,0.8895142078399658,0.9035935997962952,0.5577420072127398,06:28
158,0.887168824672699,0.8989264369010925,0.5595535838544776,06:29
159,0.8873500227928162,0.912716269493103,0.5576110359915774,06:28
160,0.8924141526222229,0.9115144610404968,0.5605806339960281,06:31
161,0.8902673125267029,0.8975378274917603,0.5594040820230659,06:30
