epoch,train_loss,valid_loss,mIOU,time
0,3.272066116333008,2.422281503677368,0.2980482862633297,05:32
1,1.4868748188018799,1.3611605167388916,0.34180477983339763,05:53
2,1.360805869102478,1.3198450803756714,0.3803051976364975,06:05
3,1.275355577468872,1.2377185821533203,0.3914274827102023,06:08
4,1.2581907510757446,1.1943565607070923,0.41157379862465615,06:12
5,1.2214642763137817,1.1579210758209229,0.4117185143753019,06:09
6,1.18474280834198,1.1074920892715454,0.4312962323669184,06:12
7,1.18349027633667,1.1897591352462769,0.42352503790975166,06:10
8,1.1399799585342407,1.0951790809631348,0.43777100919623807,06:12
9,1.1224948167800903,1.067313551902771,0.4447164887593507,06:09
10,1.1054896116256714,1.0747313499450684,0.4245144679145438,06:08
11,1.0866649150848389,1.1033560037612915,0.446499970841634,06:09
12,1.0692330598831177,1.0253850221633911,0.45324546103226293,06:10
13,1.0660663843154907,1.0108320713043213,0.45766600432198046,06:07
14,1.0510599613189697,1.0277512073516846,0.45153629037131304,06:07
15,1.045257568359375,0.9991152882575989,0.46057174564296016,06:07
16,1.035353183746338,0.9713245630264282,0.45830984967790206,06:05
17,1.0395417213439941,0.9875824451446533,0.46654094112500155,06:08
18,1.0222787857055664,1.0213409662246704,0.465156637672691,06:05
19,1.0153316259384155,0.9838273525238037,0.4771481106263987,06:06
20,1.0153868198394775,0.9933761358261108,0.46766162231301944,06:04
21,1.0062344074249268,0.9838212728500366,0.479115023417753,06:06
22,1.0075132846832275,0.9729220271110535,0.47549395125235583,06:04
23,0.9867425560951233,0.9651529788970947,0.4796115279558277,06:04
24,0.9769185185432434,0.9573736786842346,0.4740108591430204,06:04
25,0.9686006903648376,0.9999207258224487,0.4775860301875972,06:01
26,0.9849143028259277,0.9929795265197754,0.48533523898237685,06:05
27,0.9725134372711182,0.9505302309989929,0.4824074704665068,06:03
28,0.970699667930603,0.9657256603240967,0.48180927344090113,06:02
29,0.975497841835022,0.9123867750167847,0.4831698672264166,06:02
